"","state_abb","state","gender","age","population"
"398","PR","Puerto Rico","female","35 - 44",234698
"399","CA","California","female","35 - 44",2570936
"400","RI","Rhode Island","female","35 - 44",63848
"401","SC","South Carolina","female","35 - 44",304445
"402","SD","South Dakota","female","35 - 44",46986
"403","TN","Tennessee","female","35 - 44",425311
"404","TX","Texas","female","35 - 44",1825174
"405","UT","Utah","female","35 - 44",189065
"406","VT","Vermont","female","35 - 44",36365
"407","VA","Virginia","female","35 - 44",551445
"408","WA","Washington","female","35 - 44",455258
"409","WV","West Virginia","female","35 - 44",112911
"410","CO","Colorado","female","35 - 44",352301
"411","WI","Wisconsin","female","35 - 44",342076
"412","WY","Wyoming","female","35 - 44",34030
"413","CT","Connecticut","female","35 - 44",224703
"414","DC","District of Columbia","female","35 - 44",46640
"415","DE","Delaware","female","35 - 44",56754
"416","FL","Florida","female","35 - 44",1227496
"417","AL","Alabama","female","45 - 54",337729
"418","AK","Alaska","female","45 - 54",47495
"419","GA","Georgia","female","45 - 54",720002
"420","HI","Hawaii","female","45 - 54",91134
"421","ID","Idaho","female","45 - 54",100025
"422","IL","Illinois","female","45 - 54",896183
"423","IN","Indiana","female","45 - 54",449323
"424","IA","Iowa","female","45 - 54",202574
"425","KS","Kansas","female","45 - 54",185783
"426","KY","Kentucky","female","45 - 54",310306
"427","LA","Louisiana","female","45 - 54",313491
"428","ME","Maine","female","45 - 54",102102
"429","AZ","Arizona","female","45 - 54",423687
"430","MD","Maryland","female","45 - 54",455843
"431","MA","Massachusetts","female","45 - 54",505474
"432","MI","Michigan","female","45 - 54",707745
"433","MN","Minnesota","female","45 - 54",377922
"434","MS","Mississippi","female","45 - 54",201451
"435","MO","Missouri","female","45 - 54",415853
"436","MT","Montana","female","45 - 54",66383
"437","NE","Nebraska","female","45 - 54",119369
"438","NV","Nevada","female","45 - 54",188268
"439","NH","New Hampshire","female","45 - 54",106251
"440","AR","Arkansas","female","45 - 54",195982
"441","NJ","New Jersey","female","45 - 54",682888
"442","NM","New Mexico","female","45 - 54",134988
"443","NY","New York","female","45 - 54",1429775
"444","NC","North Carolina","female","45 - 54",704489
