"","party","gender","age","race","education","urbanicity","married","vote2018","state","district","wave"
"141","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"142","Dem","Female","25 - 34","White","Bachelors","S3","Married","Democratic candidate","CA","CA-25","2018-09"
"143","Dem","Female","25 - 34","Black","Bachelors","R2","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"144","Dem","Female","35 - 44","Hispanic","No Bachelors","R1","Married","Other candidate/not sure","CA","CA-25","2018-09"
"145","Rep","Female","18 - 24","White","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-25","2018-09"
"146","Ind","Female","18 - 24","Other","No Bachelors","R1","Married","Other candidate/not sure","CA","CA-25","2018-09"
"147","Dem","Female","18 - 24","White","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"148","Dem","Female","25 - 34","Other","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"149","Ind","Female","18 - 24","Other","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-25","2018-09"
"150","Dem","Male","25 - 34","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"151","Rep","Female","45 - 54","White","No Bachelors","S4","Married","Other candidate/not sure","CA","CA-25","2018-09"
"152","Rep","Female","25 - 34","Hispanic","No Bachelors","R1","Married","Republican candidate","CA","CA-25","2018-09"
"153","Rep","Male","45 - 54","White","Bachelors","S4","Married","Republican candidate","CA","CA-25","2018-09"
"154","Rep","Female","25 - 34","White","Bachelors","S3","Married","Republican candidate","CA","CA-25","2018-09"
"155","Dem","Male","18 - 24","Other","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"156","Ind","Female","> 54","White","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"157","Ind","Female","45 - 54","White","No Bachelors","S3","Married","Other candidate/not sure","CA","CA-25","2018-09"
"158","Dem","Female","25 - 34","Hispanic","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"159","Dem","Female","18 - 24","Hispanic","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"160","Dem","Female","35 - 44","Hispanic","Bachelors","R1","Married","Democratic candidate","CA","CA-25","2018-09"
"161","Dem","Male","25 - 34","Other","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"162","Dem","Female","25 - 34","Black","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-25","2018-09"
"163","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"164","Rep","Male","18 - 24","Other","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-25","2018-09"
"165","Ind","Female","18 - 24","Other","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"166","Rep","Female","18 - 24","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"167","Rep","Female","45 - 54","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-25","2018-09"
"168","Ind","Female","18 - 24","Hispanic","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"169","Dem","Female","25 - 34","Black","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"170","Rep","Female","18 - 24","Other","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"171","Dem","Female","25 - 34","Other","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"172","Ind","Female","> 54","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"173","Ind","Female","18 - 24","Other","Bachelors","U6","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"174","Ind","Female","25 - 34","White","Bachelors","U6","Unmarried","Republican candidate","CA","CA-39","2018-09"
"175","Rep","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"176","Rep","Male","25 - 34","White","Bachelors","U5","Married","Republican candidate","CA","CA-39","2018-09"
"177","Ind","Male","35 - 44","Other","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"178","Ind","Male","18 - 24","Other","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"179","Rep","Female","25 - 34","White","Bachelors","S4","Married","Republican candidate","CA","CA-39","2018-09"
"180","Dem","Male","18 - 24","White","No Bachelors","S4","Married","Other candidate/not sure","CA","CA-39","2018-09"
"181","Rep","Male","45 - 54","White","Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"182","Rep","Male","25 - 34","Hispanic","No Bachelors","S4","Married","Other candidate/not sure","CA","CA-39","2018-09"
"183","Dem","Female","35 - 44","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"184","Dem","Female","18 - 24","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"185","Dem","Male","> 54","White","Bachelors","U5","Married","Democratic candidate","CA","CA-39","2018-09"
"186","Dem","Female","18 - 24","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"187","Rep","Male","18 - 24","Other","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"188","Dem","Female","25 - 34","White","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"189","Rep","Female","25 - 34","White","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"190","Ind","Female","45 - 54","Hispanic","No Bachelors","U6","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"191","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"192","Dem","Female","45 - 54","Hispanic","No Bachelors","U6","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"193","Dem","Male","45 - 54","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"194","Dem","Female","35 - 44","White","Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
